(A) Last 3-Day Direction,(P) Triple Crossover,(P) Short Crossover,(P) Trend Longer Than 1 Day,(P) Down-Up Reversal Status,(P) Up-Down Reversal Status,"(P) Reversal Lasted Only 
1-Day","(A) Close From 
Open",(A) Open to Closed Switch,(P) Low < Long Predict,(P) Low < T.Cross Short,(P) Low < T.Cross Long,(P) Medium Crossover,(P) Long Crossover,(P) Short Diff. Direction,(P) Med Diff. Direction,(P) Long Diff. Direction,(P) Med to Short Diff Switch,"(P) Long Diff. Minus 
Med Diff.",(A) High > Short Actual,(P) Neural Index,(A) 2 Day Swing,"(A) 2 Day
Travel",(A) Most Recent Extreme,VIX Factor,"FFT 
Outcome","Akkio
Outcome","Probability 
Outcome is 
No Trade","Probability 
Outcome is 
Won","(P) Long Diff. Minus 
Med Diff. contains outlier",(A) 2 Day Swing contains outlier,"(A) 2 Day
Travel contains outlier",(A) Most Recent Extreme contains outlier,VIX Factor contains outlier,Akkio__Outcome,Probability Outcome is No Trade,Probability Outcome is Won,Probability Outcome is Lost,Probability Outcome is Folded
Flat,Down,Up,No,Currently in Up Trend,Just Entered Up Trend,FALSE,Higher,Stable,TRUE,TRUE,TRUE,Down,Down,Up,Up,Up,Stable,-13.07495,TRUE,up,0.025538937,0.002810437,0.055060556,0.912272727,No Trade,No Trade,0.8930649161338806,0.083805822,,,,,,No Trade,0.8930649161338806,0.083805822,0.018848628,0.004280581
Flat,Down,Up,No,Currently in Up Trend,Just Entered Up Trend,FALSE,Higher,Stable,TRUE,TRUE,TRUE,Down,Down,Up,Up,Up,Stable,-19.59522,TRUE,up,0.022757787,0.001191616,0.055060556,0.548888889,No Trade,No Trade,0.8926927447319031,0.084529653,,,,,,No Trade,0.8926927447319031,0.084529653,0.018675551,0.004101981
Up,Down,Up,Yes,Currently in Up Trend,Reversal Coming,FALSE,Higher,Stable,TRUE,TRUE,TRUE,Down,Down,Up,Up,Up,Stable,-24.20019,TRUE,up,0.019356608,0.002286599,0.055060556,0.804090909,No Trade,No Trade,0.8917344808578491,0.061759438,,,,,,No Trade,0.8917344808578491,0.061759438,0.032739419,0.01376665
Down,Down,Down,Yes,Down Trend Continues,Currently in Down Trend,FALSE,Lower,Stable,TRUE,TRUE,TRUE,Down,Down,Up,Up,Down,Down,-5.68457,FALSE,up,0.024441498,0.002654338,0.055060556,0.960909091,No Trade,No Trade,0.8524478077888489,0.12922580540180206,,,,,,No Trade,0.8524478077888489,0.12922580540180206,0.011205701157450676,0.007120678
Up,Down,Up,No,Currently in Up Trend,Just Entered Up Trend,FALSE,Higher,Stable,TRUE,TRUE,TRUE,Down,Down,Up,Up,Down,Stable,2.04981,TRUE,up,0.023831701,0.006044693,-0.035095998,1.156666667,No Trade,No Trade,0.8449392914772034,0.092314735,,,,,,No Trade,0.8449392914772034,0.092314735,0.046106275,0.016639657
Up,Down,Up,Yes,Currently in Up Trend,Reversal Coming,FALSE,Lower,Down,TRUE,TRUE,TRUE,Down,Down,Up,Up,Up,Stable,-40.783201,TRUE,up,0.023450285,0.007325105,0.055060556,0.6388,No Trade,No Trade,0.8408119678497314,0.10031098127365112,,,,,,No Trade,0.8408119678497314,0.10031098127365112,0.049881324,0.008995708
Flat,Down,Up,No,Currently in Up Trend,Just Entered Up Trend,FALSE,Lower,Down,TRUE,TRUE,TRUE,Down,Down,Up,Up,Up,Stable,-14.30713,TRUE,up,0.02144312,0.005196581,0.055060556,0.737826087,No Trade,No Trade,0.8329945206642151,0.13355152308940887,,,,,,No Trade,0.8329945206642151,0.13355152308940887,0.030143551528453827,0.003310509
Up,Ambig,Up,Yes,Currently in Up Trend,Reversal Coming,FALSE,Lower,Stable,TRUE,TRUE,TRUE,Down,Down,Up,Up,Down,Stable,-1.511233,TRUE,up,0.016755375,0.001218833,0.055060556,0.554814815,No Trade,No Trade,0.8298534154891968,0.081988916,,,,,,No Trade,0.8298534154891968,0.081988916,0.053209904581308365,0.034947820007801056
Flat,Ambig,Up,No,Currently in Up Trend,Just Entered Up Trend,FALSE,Higher,Up,TRUE,TRUE,FALSE,Down,Up,Up,Up,Down,Down,22.605464,TRUE,up,0.013614516,0.001244747,0.055060556,0.508888889,No Trade,No Trade,0.8030913472175598,0.15766039490699768,,,,,,No Trade,0.8030913472175598,0.15766039490699768,0.022445501759648323,0.016802778467535973
Down,Ambig,Down,Yes,Reversal Coming,Currently in Down Trend,FALSE,Higher,Stable,TRUE,TRUE,FALSE,Down,Up,Down,Down,Down,Stable,26.733395,FALSE,down,0.021370516,0.000929841,0.055060556,0.931363636,No Trade,No Trade,0.7929666042327881,0.12655597925186157,,,,,,No Trade,0.7929666042327881,0.12655597925186157,0.043345671,0.037131779
Up,Up,Up,Yes,Currently in Up Trend,Reversal Coming,FALSE,Higher,Stable,TRUE,TRUE,FALSE,Down,Up,Up,Up,Down,Stable,19.732422,TRUE,up,0.019508618,0.004376103,0.055060556,0.859545455,No Trade,No Trade,0.7887991666793823,0.084469371,,,,,,No Trade,0.7887991666793823,0.084469371,0.096802086,0.029929276555776596
Up,Down,Up,Yes,Currently in Up Trend,Reversal Coming,FALSE,Higher,Stable,TRUE,TRUE,TRUE,Down,Down,Up,Up,Up,Stable,-43.19531,TRUE,up,0.06496141,0.007487597,-0.035095998,1.435714286,Won,No Trade,0.7762258648872375,0.10936636477708817,,,,,,No Trade,0.7762258648872375,0.10936636477708817,0.071911089,0.042496681213378906
Up,Up,Up,Yes,Currently in Up Trend,Up Trend Continues,FALSE,Higher,Stable,FALSE,FALSE,FALSE,Up,Up,Down,Up,Up,Up,-44.560547,TRUE,up,0.021029228,0.00532524,0.055060556,0.551481481,No Trade,No Trade,0.7728405594825745,0.14755553007125854,,,,,,No Trade,0.7728405594825745,0.14755553007125854,0.05857173,0.021032229
Down,Down,Down,Yes,Reversal Coming,Currently in Down Trend,FALSE,Lower,Stable,TRUE,TRUE,TRUE,Down,Down,Down,Down,Down,Stable,11.41944,FALSE,down,0.024101586,0.007002153,0.055060556,0.781818182,Lost,No Trade,0.7700030207633972,0.15660470724105835,,,,,,No Trade,0.7700030207633972,0.15660470724105835,0.059765797,0.013626467436552048
Flat,Up,Up,Yes,Currently in Up Trend,Reversal Coming,FALSE,Higher,Stable,TRUE,TRUE,FALSE,Up,Up,Down,Down,Down,Stable,17.369628,TRUE,up,0.0169447,0.000372008,0.055060556,0.484444444,No Trade,No Trade,0.7596492767333984,0.12213864177465439,,,,,,No Trade,0.7596492767333984,0.12213864177465439,0.071193323,0.047018744
Down,Ambig,Down,Yes,Down Trend Continues,Currently in Down Trend,FALSE,Lower,Stable,TRUE,TRUE,TRUE,Down,Down,Down,Down,Down,Stable,12.753908,FALSE,down,0.01290377,0.004841427,0.055060556,0.523333333,Won,No Trade,0.7565779685974121,0.16648344695568085,,,,,,No Trade,0.7565779685974121,0.16648344695568085,0.035371553152799606,0.041567057371139526
Flat,Up,Up,Yes,Currently in Up Trend,Reversal Coming,FALSE,Lower,Down,TRUE,TRUE,FALSE,Up,Up,Down,Down,Down,Up,8.6145,TRUE,up,0.017314559,0.001082733,0.040724869,0.510740741,Won,No Trade,0.7558411955833435,0.11883731931447983,,,,,,No Trade,0.7558411955833435,0.11883731931447983,0.098163784,0.027157718315720558
Down,Down,Down,Yes,Reversal Coming,Currently in Down Trend,FALSE,Lower,Down,TRUE,TRUE,TRUE,Down,Down,Down,Down,Down,Up,-38.95264,FALSE,down,0.026849801,0.004232565,-0.034880474,1.23,No Trade,No Trade,0.7540367841720581,0.16074912250041962,,,,,,No Trade,0.7540367841720581,0.16074912250041962,0.067732848,0.017481284216046333
Down,Down,Down,Yes,Reversal Coming,Currently in Down Trend,FALSE,Lower,Stable,TRUE,TRUE,TRUE,Down,Down,Down,Down,Down,Up,-7.31299,FALSE,down,0.019178327,0.008123551,-0.035095998,1.224285714,No Trade,No Trade,0.7518107891082764,0.13414914906024933,,,,,,No Trade,0.7518107891082764,0.13414914906024933,0.081404105,0.032635912
Flat,Down,Down,Yes,Reversal Coming,Currently in Down Trend,FALSE,Lower,Stable,TRUE,TRUE,TRUE,Down,Down,Down,Up,Up,Stable,-17.47168,FALSE,down,0.018331576,0.002391557,0.055060556,0.935454545,Won,No Trade,0.7457281947135925,0.16740302741527557,,,,,,No Trade,0.7457281947135925,0.16740302741527557,0.076507986,0.010360738262534142
Flat,Down,Up,No,Currently in Up Trend,Just Entered Up Trend,FALSE,Higher,Stable,TRUE,TRUE,TRUE,Down,Down,Up,Up,Up,Stable,4.209964,TRUE,up,0.040975707,0.006628391,-0.058900975,1.449047619,No Trade,No Trade,0.7442642450332642,0.16646461188793182,,,,,,No Trade,0.7442642450332642,0.16646461188793182,0.058256358,0.031014819
Flat,Down,Down,Yes,Reversal Coming,Currently in Down Trend,FALSE,Higher,Up,TRUE,TRUE,TRUE,Down,Down,Down,Down,Down,Up,-2.715821,FALSE,down,0.018667732,0.006736275,0.055060556,0.518518519,No Trade,No Trade,0.7405155897140503,0.15600964426994324,,,,,,No Trade,0.7405155897140503,0.15600964426994324,0.090929419,0.012545354664325714
Flat,Up,Up,No,Currently in Up Trend,Just Entered Up Trend,FALSE,Higher,Stable,TRUE,TRUE,FALSE,Up,Up,Up,Down,Down,Stable,29.1337891,TRUE,up,0.012738854,0.001168331,0.055060556,0.464814815,No Trade,No Trade,0.7384048700332642,0.17405329644680023,,,,,,No Trade,0.7384048700332642,0.17405329644680023,0.067119293,0.020422503352165222
Flat,Up,Up,Yes,Currently in Up Trend,Reversal Coming,FALSE,Lower,Stable,TRUE,TRUE,TRUE,Down,Up,Down,Down,Up,Stable,5.4809572,TRUE,up,0.007805515,0.000676721,0.055060556,0.736521739,Won,No Trade,0.7350159287452698,0.14330324530601501,,,,,,No Trade,0.7350159287452698,0.14330324530601501,0.072455429,0.04922539
Flat,Down,Down,No,Just Entered Down Trend,Currently in Down Trend,TRUE,Lower,Down,TRUE,TRUE,TRUE,Down,Down,Down,Down,Down,Stable,-6.18872,TRUE,down,0.02430919,0.004146609,0.055060556,0.998636364,No Trade,No Trade,0.7349026203155518,0.21536901593208313,,,,,,No Trade,0.7349026203155518,0.21536901593208313,0.047590304,0.002137989
Down,Down,Down,Yes,Reversal Coming,Currently in Down Trend,FALSE,Lower,Stable,TRUE,TRUE,TRUE,Down,Up,Down,Down,Down,Stable,32.49365,TRUE,down,0.026639532,0.006054231,0.055060556,0.972727273,No Trade,No Trade,0.7106378674507141,0.2095302939414978,,,,,,No Trade,0.7106378674507141,0.2095302939414978,0.065586589,0.014245283789932728
Flat,Down,Up,Yes,Currently in Up Trend,Reversal Coming,FALSE,Higher,Up,TRUE,TRUE,TRUE,Up,Down,Down,Up,Up,Stable,-48.3701219,TRUE,down,0.01786806,0.005011489,0.055060556,0.6148,No Trade,No Trade,0.7084581255912781,0.19744296371936798,,,,,,No Trade,0.7084581255912781,0.19744296371936798,0.061965186,0.032133799
Down,Down,Down,Yes,Reversal Coming,Currently in Down Trend,FALSE,Lower,Stable,TRUE,TRUE,TRUE,Down,Down,Down,Down,Down,Up,-14.90429,TRUE,down,0.023977469,0.006872761,-0.035095998,1.36047619,No Trade,No Trade,0.7062399387359619,0.1808432787656784,,,,,,No Trade,0.7062399387359619,0.1808432787656784,0.089438662,0.023478170856833458
Flat,Down,Up,No,Currently in Up Trend,Just Entered Up Trend,FALSE,Higher,Up,TRUE,TRUE,TRUE,Down,Down,Up,Up,Up,Stable,-66.99704,TRUE,up,0.045170999,0.000416779,-0.043134488,1.437142857,No Trade,No Trade,0.7013924717903137,0.2352244108915329,,,,,,No Trade,0.7013924717903137,0.2352244108915329,0.043802522122859955,0.019580654799938202
Flat,Down,Up,Yes,Currently in Up Trend,Reversal Coming,FALSE,Lower,Down,TRUE,TRUE,TRUE,Down,Down,Up,Up,Down,Stable,-1.7085,TRUE,up,0.035672227,0.006167485,-0.035095998,0.800909091,No Trade,No Trade,0.7003483176231384,0.16584134101867676,,,,,,No Trade,0.7003483176231384,0.16584134101867676,0.0982797,0.035530653
Down,Down,Down,Yes,Down Trend Continues,Currently in Down Trend,FALSE,Lower,Stable,TRUE,TRUE,TRUE,Down,Down,Up,Down,Down,Down,13.07105,FALSE,up,0.037758831,0.00301929,-0.043134488,1.598571429,Won,No Trade,0.6974158883094788,0.22407393157482147,,,,,,No Trade,0.6974158883094788,0.22407393157482147,0.027914343401789665,0.050595865
Flat,Down,Up,No,Currently in Up Trend,Just Entered Up Trend,FALSE,Higher,Up,TRUE,TRUE,TRUE,Down,Down,Up,Up,Down,Stable,4.36426,TRUE,up,0.021796048,0.002365702,-0.035095998,0.826363636,No Trade,No Trade,0.6938632130622864,0.21451053023338318,,,,,,No Trade,0.6938632130622864,0.21451053023338318,0.064635202,0.026991054
Up,Up,Up,Yes,Currently in Up Trend,Reversal Coming,FALSE,Higher,Stable,TRUE,TRUE,TRUE,Up,Down,Up,Up,Up,Stable,-46.8125023,TRUE,up,0.020879332,0.004070412,0.055060556,0.733478261,No Trade,No Trade,0.6919576525688171,0.17947590351104736,,,,,,No Trade,0.6919576525688171,0.17947590351104736,0.088060364,0.040506095
Down,Down,Down,Yes,Down Trend Continues,Currently in Down Trend,FALSE,Higher,Up,TRUE,TRUE,TRUE,Down,Down,Up,Down,Down,Stable,-7.72851,FALSE,down,0.023363531,0.006796805,0.055060556,0.786363636,No Trade,No Trade,0.6806042790412903,0.2512695789337158,,,,,,No Trade,0.6806042790412903,0.2512695789337158,0.043987054377794266,0.024139076471328735
Down,Ambig,Down,Yes,Reversal Coming,Currently in Down Trend,FALSE,Lower,Stable,TRUE,TRUE,TRUE,Down,Up,Down,Down,Down,Stable,34.95581,FALSE,down,0.02966675,0.010156711,0.055060556,0.932727273,No Trade,No Trade,0.6804388165473938,0.2053299993276596,,,,,,No Trade,0.6804388165473938,0.2053299993276596,0.065186255,0.049045
Up,Up,Up,Yes,Currently in Up Trend,Up Trend Continues,FALSE,Higher,Stable,FALSE,TRUE,FALSE,Up,Up,Down,Up,Up,Up,-6.799804,TRUE,up,0.016483803,0.002361592,0.055060556,0.951363636,No Trade,No Trade,0.6770647764205933,0.1955353170633316,,,,,,No Trade,0.6770647764205933,0.1955353170633316,0.099801421,0.027598466724157333
Up,Down,Up,No,Currently in Up Trend,Just Entered Up Trend,FALSE,Higher,Up,TRUE,TRUE,TRUE,Down,Down,Up,Up,Up,Stable,-21.19531,TRUE,up,0.044504162,0.003125204,-0.035095998,1.294285714,Won,No Trade,0.6761103272438049,0.21629862487316132,,,,,,No Trade,0.6761103272438049,0.21629862487316132,0.079354241,0.028236757963895798
Flat,Up,Down,No,Just Entered Down Trend,Currently in Down Trend,TRUE,Lower,Stable,TRUE,TRUE,FALSE,Down,Up,Down,Down,Down,Stable,28.662106,FALSE,down,0.012856523,0.002468198,0.055060556,0.528888889,No Trade,No Trade,0.6745215058326721,0.19726981222629547,,,,,,No Trade,0.6745215058326721,0.19726981222629547,0.11779793351888657,0.010410781018435955
Up,Up,Up,Yes,Currently in Up Trend,Reversal Coming,FALSE,Higher,Stable,TRUE,TRUE,FALSE,Up,Up,Up,Up,Up,Stable,7.8779297,TRUE,up,0.018180157,0.000398053,0.055060556,0.501481481,No Trade,No Trade,0.6701580286026001,0.14841000735759735,,,,,,No Trade,0.6701580286026001,0.14841000735759735,0.12338152527809143,0.058050424
Flat,Down,Up,Yes,Currently in Up Trend,Reversal Coming,FALSE,Lower,Stable,TRUE,TRUE,TRUE,Down,Down,Down,Down,Up,Stable,-9.663089,TRUE,down,0.019813604,0.000969039,-0.035095998,0.97,No Trade,No Trade,0.6692153215408325,0.13126128911972046,,,,,,No Trade,0.6692153215408325,0.13126128911972046,0.10769042372703552,0.091832943
Flat,Down,Down,No,Just Entered Down Trend,Currently in Down Trend,FALSE,Lower,Stable,TRUE,TRUE,TRUE,Up,Down,Down,Up,Down,Up,-28.316894,TRUE,down,0.01636438,0.001650922,-0.035095998,0.909090909,No Trade,No Trade,0.6598913669586182,0.23672953248023987,,,,,,No Trade,0.6598913669586182,0.23672953248023987,0.068278961,0.035100217908620834
Flat,Up,Up,Yes,Currently in Up Trend,Up Trend Continues,FALSE,Higher,Stable,TRUE,TRUE,FALSE,Up,Up,Up,Up,Down,Stable,19.990722,TRUE,up,0.016085791,0.000957646,0.055060556,0.467777778,No Trade,No Trade,0.6554918885231018,0.2493254840373993,,,,,,No Trade,0.6554918885231018,0.2493254840373993,0.07365407,0.021528640761971474
Flat,Down,Down,Yes,Reversal Coming,Currently in Down Trend,FALSE,Higher,Up,TRUE,TRUE,TRUE,Down,Down,Up,Up,Up,Stable,-42.36133,FALSE,up,0.024484656,0.006402739,0.055060556,0.844545455,Lost,No Trade,0.6471067667007446,0.28186601400375366,,,,,,No Trade,0.6471067667007446,0.28186601400375366,0.059820957481861115,0.011206312105059624
Flat,Up,Up,Yes,Currently in Up Trend,Up Trend Continues,FALSE,Higher,Stable,TRUE,TRUE,FALSE,Up,Up,Up,Down,Down,Down,26.1337892,TRUE,up,0.010513228,0.000392128,0.055060556,0.453333333,No Trade,No Trade,0.6470311880111694,0.280657023,,,,,,No Trade,0.6470311880111694,0.280657023,0.045336317270994186,0.026975436136126518
Up,Down,Up,No,Currently in Up Trend,Just Entered Up Trend,FALSE,Higher,Up,TRUE,TRUE,TRUE,Down,Down,Up,Up,Up,Stable,3.45386,TRUE,up,0.029731387,0.009319055,-0.043134488,1.520952381,No Trade,No Trade,0.6369861960411072,0.22601023316383362,,,,,,No Trade,0.6369861960411072,0.22601023316383362,0.095358811,0.041644763
Down,Down,Down,Yes,Down Trend Continues,Currently in Down Trend,FALSE,Lower,Down,TRUE,TRUE,TRUE,Down,Down,Down,Down,Down,Stable,22.06934,FALSE,down,0.027289391,0.000246376,-0.043134488,1.293333333,No Trade,No Trade,0.6363831758499146,0.24140094220638275,,,,,,No Trade,0.6363831758499146,0.24140094220638275,0.069104485,0.053111493587493896
Up,Up,Up,Yes,Currently in Up Trend,Up Trend Continues,FALSE,Higher,Stable,FALSE,FALSE,FALSE,Up,Down,Down,Up,Up,Stable,-41.112793,TRUE,up,0.039358312,0.004372556,0.055060556,0.72,No Trade,No Trade,0.6359283924102783,0.25255846977233887,,,,,,No Trade,0.6359283924102783,0.25255846977233887,0.085746482,0.025766719
Flat,Up,Up,Yes,Currently in Up Trend,Reversal Coming,FALSE,Lower,Stable,TRUE,TRUE,FALSE,Up,Up,Down,Down,Down,Stable,11.832031,TRUE,down,0.017892683,1.94156E-05,0.055060556,0.533333333,No Trade,No Trade,0.6311550140380859,0.1558079719543457,,,1,,,No Trade,0.6311550140380859,0.1558079719543457,0.15438508987426758,0.058651969
Flat,Down,Down,Yes,Reversal Coming,Currently in Down Trend,FALSE,Lower,Down,TRUE,TRUE,TRUE,Down,Down,Up,Up,Up,Stable,-36.12207,TRUE,up,0.026622532,0.003499131,0.055060556,0.840454545,No Trade,No Trade,0.6300811171531677,0.3010481297969818,,,,,,No Trade,0.6300811171531677,0.3010481297969818,0.064788774,0.004081973
Down,Down,Down,No,Just Entered Down Trend,Currently in Down Trend,FALSE,Lower,Down,TRUE,TRUE,TRUE,Up,Down,Down,Down,Down,Up,-40.362554,TRUE,down,0.022004229,0.003852315,-0.043134488,1.298571429,No Trade,No Trade,0.6231070160865784,0.29921647906303406,,,,,,No Trade,0.6231070160865784,0.29921647906303406,0.042906728,0.034769829362630844
Down,Down,Down,Yes,Down Trend Continues,Currently in Down Trend,FALSE,Lower,Down,TRUE,TRUE,TRUE,Down,Down,Up,Down,Down,Stable,-15.03589,FALSE,down,0.047110975,0.003455657,-0.035095998,1.81047619,No Trade,No Trade,0.6222469806671143,0.27540087699890137,,,,,,No Trade,0.6222469806671143,0.27540087699890137,0.065216675,0.037135482
Down,Down,Down,Yes,Reversal Coming,Currently in Down Trend,FALSE,Higher,Stable,TRUE,TRUE,TRUE,Down,Down,Up,Down,Down,Stable,-4.8562,FALSE,down,0.037001152,0.007228789,-0.032506596,1.257142857,No Trade,No Trade,0.6187611818313599,0.2361568659543991,,,,,,No Trade,0.6187611818313599,0.2361568659543991,0.092709064,0.052372888
Flat,Up,Down,No,Just Entered Down Trend,Currently in Down Trend,FALSE,Higher,Stable,TRUE,TRUE,FALSE,Up,Up,Down,Down,Down,Stable,5.963379,FALSE,down,0.010296873,0.000226833,0.055060556,0.512592593,Won,No Trade,0.6180285215377808,0.25373414158821106,,,,,,No Trade,0.6180285215377808,0.25373414158821106,0.073764354,0.054472934
Down,Down,Down,Yes,Reversal Coming,Currently in Down Trend,FALSE,Lower,Stable,TRUE,TRUE,TRUE,Down,Down,Down,Down,Down,Stable,-4.18359,FALSE,down,0.038643344,0.013425977,-0.043134488,1.545238095,No Trade,No Trade,0.6120259165763855,0.23248478770256042,,,,,,No Trade,0.6120259165763855,0.23248478770256042,0.10595248639583588,0.049536858
Down,Down,Down,Yes,Reversal Coming,Currently in Down Trend,FALSE,Higher,Up,TRUE,TRUE,TRUE,Down,Down,Up,Up,Down,Stable,-0.00342,TRUE,up,0.034751525,0.000604495,0.055060556,0.712608696,No Trade,No Trade,0.6093511581420898,0.3273797333240509,,,,,,No Trade,0.6093511581420898,0.3273797333240509,0.053642697632312775,0.009626437
Up,Up,Up,No,Currently in Up Trend,Just Entered Up Trend,TRUE,Higher,Up,TRUE,TRUE,TRUE,Up,Up,Up,Up,Up,Down,-14.7182615,TRUE,up,0.024578251,0.003799646,0.055060556,0.960454545,No Trade,No Trade,0.6035448908805847,0.3341272473335266,,,,,,No Trade,0.6035448908805847,0.3341272473335266,0.056326720863580704,0.006001221
Flat,Ambig,Down,Yes,Reversal Coming,Currently in Down Trend,FALSE,Lower,Stable,TRUE,TRUE,TRUE,Down,Up,Up,Down,Down,Stable,31.281738,FALSE,down,0.019534454,0.002874404,0.055060556,0.867272727,No Trade,No Trade,0.6035152077674866,0.23023058474063873,,,,,,No Trade,0.6035152077674866,0.23023058474063873,0.11248046904802322,0.053773772
Flat,Ambig,Down,Yes,Down Trend Continues,Currently in Down Trend,FALSE,Lower,Down,TRUE,TRUE,TRUE,Down,Down,Up,Down,Down,Down,5.43042,TRUE,up,0.013361567,0.004171706,0.040724869,0.537777778,No Trade,No Trade,0.6018333435058594,0.3471902906894684,,,,,,No Trade,0.6018333435058594,0.3471902906894684,0.031688243,0.019288120791316032
Down,Ambig,Down,Yes,Reversal Coming,Currently in Down Trend,FALSE,Lower,Down,TRUE,TRUE,TRUE,Down,Down,Down,Down,Down,Stable,14.840334,TRUE,down,0.011781783,0.000871893,0.055060556,0.852727273,No Trade,No Trade,0.5989751219749451,0.31019461154937744,,,,,,No Trade,0.5989751219749451,0.31019461154937744,0.069036715,0.021793498
