(A) Last 3-Day Direction,(P) Triple Crossover,(P) Short Crossover,(P) Trend Longer Than 1 Day,(P) Down-Up Reversal Status,(P) Up-Down Reversal Status,"(P) Reversal Lasted Only 
Down,Down,Down,Yes,Reversal Coming,Currently in Down Trend,FALSE,Lower,Stable,TRUE,TRUE,TRUE,Down,Down,Down,Down,Down,Stable,-48.07566,TRUE,down,0.046437214,0.011922691,-0.043134488,1.505714286,No Trade,No Trade,0.5911890268325806,0.2944701015949249,,,,,,No Trade,0.5911890268325806,0.2944701015949249,0.089437813,0.024903109297156334
Flat,Up,Up,No,Currently in Up Trend,Just Entered Up Trend,TRUE,Higher,Up,TRUE,TRUE,FALSE,Up,Up,Up,Down,Down,Stable,33.002442,TRUE,up,0.022061908,0.004645235,0.055060556,0.505555556,No Trade,No Trade,0.5911781787872314,0.28090575337409973,,,,,,No Trade,0.5911781787872314,0.28090575337409973,0.1205611452460289,0.007354841
Flat,Ambig,Down,Yes,Reversal Coming,Currently in Down Trend,FALSE,Higher,Stable,TRUE,TRUE,TRUE,Down,Down,Up,Down,Down,Stable,3.65527,TRUE,down,0.021103171,0.002222519,0.055060556,0.6396,No Trade,No Trade,0.5905439853668213,0.2796274423599243,,,,,,No Trade,0.5905439853668213,0.2796274423599243,0.10029326379299164,0.029535273
Up,Up,Up,Yes,Currently in Up Trend,Up Trend Continues,FALSE,Higher,Stable,FALSE,TRUE,FALSE,Up,Up,Down,Up,Up,Stable,-31.931642,TRUE,up,0.014707569,0.000902156,0.055060556,0.548518519,Won,No Trade,0.5841778516769409,0.29315876960754395,,,,,,No Trade,0.5841778516769409,0.29315876960754395,0.091733463,0.030929925
Down,Down,Down,Yes,Down Trend Continues,Currently in Down Trend,FALSE,Higher,Up,TRUE,TRUE,TRUE,Down,Down,Up,Up,Down,Stable,8.4031,FALSE,up,0.047018349,0.001912929,-0.038555205,1.41047619,Won,No Trade,0.5834938883781433,0.30596813559532166,,,,,,No Trade,0.5834938883781433,0.30596813559532166,0.052282158,0.058255840092897415
Flat,Up,Up,Yes,Currently in Up Trend,Reversal Coming,FALSE,Lower,Stable,TRUE,TRUE,TRUE,Up,Down,Down,Up,Up,Stable,-34.526855,TRUE,down,0.035274426,0.005533467,0.055060556,1.027727273,Won,No Trade,0.5833690166473389,0.23332124948501587,,,,,,No Trade,0.5833690166473389,0.23332124948501587,0.1403122842311859,0.042997442185878754
Flat,Down,Down,Yes,Down Trend Continues,Currently in Down Trend,FALSE,Higher,Up,TRUE,TRUE,TRUE,Down,Down,Down,Up,Down,Stable,-102.4578,FALSE,down,0.142337498,0.028160538,-0.052150878,3.428571429,No Trade,No Trade,0.5821943879127502,0.32667091488838196,1,1,1,,1,No Trade,0.5821943879127502,0.32667091488838196,0.072993353,0.018141372
Down,Ambig,Down,Yes,Reversal Coming,Currently in Down Trend,FALSE,Higher,Up,TRUE,TRUE,TRUE,Down,Up,Down,Down,Down,Stable,25.046387,FALSE,down,0.01556257,0.004275563,0.055060556,0.6136,No Trade,No Trade,0.5768578052520752,0.2883613109588623,,,,,,No Trade,0.5768578052520752,0.2883613109588623,0.061995804,0.072785057
Down,Ambig,Down,Yes,Reversal Coming,Currently in Down Trend,FALSE,Higher,Up,TRUE,TRUE,TRUE,Down,Up,Up,Up,Down,Stable,17.4533647,FALSE,up,0.023092095,0.006119895,0.040724869,0.707826087,Lost,No Trade,0.5732241272926331,0.32079261541366577,,,,,,No Trade,0.5732241272926331,0.32079261541366577,0.050216291,0.055766929
Down,Down,Down,Yes,Reversal Coming,Currently in Down Trend,FALSE,Lower,Down,TRUE,TRUE,TRUE,Down,Down,Up,Down,Down,Stable,-55.84497,FALSE,down,0.053393481,0.000525452,-0.040671085,1.401428571,No Trade,No Trade,0.5723653435707092,0.31152644753456116,,,,,,No Trade,0.5723653435707092,0.31152644753456116,0.091430895,0.024677276611328125
Flat,Up,Up,Yes,Currently in Up Trend,Reversal Coming,FALSE,Lower,Down,TRUE,TRUE,FALSE,Up,Up,Down,Down,Down,Up,25.5395503,TRUE,up,0.020103939,0.00327072,-0.035095998,0.816818182,Won,No Trade,0.5699591636657715,0.15801291167736053,,,,,,No Trade,0.5699591636657715,0.15801291167736053,0.17850960791110992,0.093518399
Flat,Up,Up,No,Currently in Up Trend,Just Entered Up Trend,FALSE,Higher,Up,TRUE,TRUE,FALSE,Up,Up,Up,Up,Down,Down,40.5581053,TRUE,up,0.023121491,0.001814673,0.055060556,0.6,Lost,No Trade,0.5691613554954529,0.33945778012275696,,,,,,No Trade,0.5691613554954529,0.33945778012275696,0.068647452,0.022733453661203384
Flat,Up,Up,No,Currently in Up Trend,Just Entered Up Trend,FALSE,Higher,Up,TRUE,TRUE,TRUE,Down,Down,Up,Up,Up,Stable,7.69336,TRUE,up,0.023406032,0.000447357,0.055060556,0.774090909,No Trade,No Trade,0.5689093470573425,0.31991899013519287,,,,,,No Trade,0.5689093470573425,0.31991899013519287,0.092231944,0.018939753994345665
Down,Down,Down,Yes,Down Trend Continues,Currently in Down Trend,FALSE,Higher,Up,TRUE,TRUE,TRUE,Down,Down,Up,Up,Down,Stable,-38.4178,FALSE,down,0.035296774,0.006239129,-0.033888214,1.217142857,No Trade,No Trade,0.5672502517700195,0.3212806284427643,,,,,,No Trade,0.5672502517700195,0.3212806284427643,0.060658611,0.050810549
Flat,Up,Up,Yes,Currently in Up Trend,Up Trend Continues,FALSE,Higher,Stable,TRUE,TRUE,FALSE,Up,Up,Up,Down,Up,Stable,27.246094,TRUE,up,0.009104336,0.002068966,0.055060556,0.513333333,No Trade,No Trade,0.5672457814216614,0.3060697019100189,,,,,,No Trade,0.5672457814216614,0.3060697019100189,0.086425267,0.040259209
Flat,Ambig,Up,Yes,Currently in Up Trend,Reversal Coming,FALSE,Lower,Down,TRUE,TRUE,TRUE,Down,Down,Down,Up,Down,Stable,2.25,TRUE,down,0.019174562,0.00432579,-0.058900975,1.672380952,No Trade,No Trade,0.5644631385803223,0.1688200831413269,,,,,,No Trade,0.5644631385803223,0.1688200831413269,0.11434972286224365,0.1523669958114624
Down,Down,Down,Yes,Reversal Coming,Currently in Down Trend,FALSE,Lower,Stable,TRUE,TRUE,TRUE,Down,Down,Down,Down,Down,Stable,9.1836,TRUE,down,0.028719954,0.00581653,-0.035095998,1.481904762,No Trade,No Trade,0.5641641020774841,0.28374671936035156,,,,,,No Trade,0.5641641020774841,0.28374671936035156,0.11284410953521729,0.039245028
Flat,Up,Up,Yes,Currently in Up Trend,Up Trend Continues,FALSE,Lower,Stable,TRUE,TRUE,FALSE,Up,Up,Down,Down,Down,Stable,28.523926,TRUE,down,0.012575178,0.00184826,0.055060556,0.488888889,No Trade,No Trade,0.5639525055885315,0.26739299297332764,,,,,,No Trade,0.5639525055885315,0.26739299297332764,0.13603202998638153,0.032622416
Down,Ambig,Down,Yes,Reversal Coming,Currently in Down Trend,FALSE,Higher,Up,TRUE,TRUE,TRUE,Down,Down,Down,Down,Down,Stable,15.460445,FALSE,down,0.013590578,0.009151692,0.055060556,0.6368,No Trade,No Trade,0.5620856881141663,0.30468985438346863,,,,,,No Trade,0.5620856881141663,0.30468985438346863,0.073203117,0.060021307319402695
Flat,Ambig,Down,Yes,Down Trend Continues,Currently in Down Trend,FALSE,Higher,Up,TRUE,TRUE,TRUE,Down,Down,Up,Up,Down,Stable,14.431148,TRUE,up,0.010955003,0.002254856,0.055060556,0.478518519,No Trade,No Trade,0.5615627765655518,0.35349127650260925,,,,,,No Trade,0.5615627765655518,0.35349127650260925,0.053345356,0.031600643
Down,Ambig,Down,Yes,Reversal Coming,Currently in Down Trend,FALSE,Higher,Up,TRUE,TRUE,TRUE,Down,Up,Down,Down,Down,Stable,9.476075,FALSE,down,0.014164369,0.008659317,0.040724869,0.6384,No Trade,No Trade,0.5581516027450562,0.30172762274742126,,,,,,No Trade,0.5581516027450562,0.30172762274742126,0.0620161,0.078104734
Up,Up,Up,No,Currently in Up Trend,Just Entered Up Trend,FALSE,Higher,Stable,TRUE,TRUE,TRUE,Up,Up,Up,Up,Up,Down,-13.162109,TRUE,up,0.017422884,0.004078138,-0.035095998,0.733043478,No Trade,No Trade,0.5537237524986267,0.3134433329105377,,,,,,No Trade,0.5537237524986267,0.3134433329105377,0.0663599,0.066472962
Flat,Up,Up,Yes,Currently in Up Trend,Up Trend Continues,FALSE,Higher,Stable,FALSE,FALSE,FALSE,Up,Down,Up,Up,Up,Stable,-40.685055,TRUE,up,0.024842976,0.00740713,0.055060556,0.971818182,No Trade,No Trade,0.5523598790168762,0.3398807644844055,,,,,,No Trade,0.5523598790168762,0.3398807644844055,0.078097038,0.029662322252988815
Flat,Up,Up,Yes,Currently in Up Trend,Up Trend Continues,FALSE,Lower,Down,TRUE,TRUE,FALSE,Up,Up,Down,Down,Down,Stable,3.595215,TRUE,down,0.015060373,6.61536E-05,0.055060556,0.518148148,Won,No Trade,0.5486370325088501,0.3169122040271759,,,,,,No Trade,0.5486370325088501,0.3169122040271759,0.11584486067295074,0.018605850636959076
Flat,Ambig,Down,Yes,Reversal Coming,Currently in Down Trend,FALSE,Lower,Stable,TRUE,TRUE,FALSE,Up,Up,Down,Down,Down,Stable,30.4038086,TRUE,down,0.032012488,0.002413328,0.055060556,0.941363636,Won,No Trade,0.5441272258758545,0.285524458,,,,,,No Trade,0.5441272258758545,0.285524458,0.1324099749326706,0.037938394
Up,Up,Up,No,Currently in Up Trend,Just Entered Up Trend,FALSE,Higher,Stable,FALSE,TRUE,FALSE,Up,Up,Up,Up,Up,Down,24.710205,TRUE,up,0.028854292,0.009851236,0.055060556,0.900454545,No Trade,No Trade,0.5431919097900391,0.317296565,,,,,,No Trade,0.5431919097900391,0.317296565,0.10497722774744034,0.034534343
Down,Down,Down,Yes,Down Trend Continues,Currently in Down Trend,FALSE,Higher,Up,TRUE,TRUE,TRUE,Down,Down,Up,Up,Down,Stable,-43.4028,FALSE,down,0.053746702,0.016885273,-0.032506596,1.482380952,No Trade,No Trade,0.5419840216636658,0.3477935194969177,,,,,,No Trade,0.5419840216636658,0.3477935194969177,0.066950299,0.043272167444229126
Up,Up,Up,Yes,Currently in Up Trend,Reversal Coming,FALSE,Higher,Stable,FALSE,TRUE,FALSE,Down,Down,Up,Up,Up,Stable,-1.236817,TRUE,up,0.025443787,0.008790023,0.055060556,0.6312,Won,No Trade,0.5395013689994812,0.17614752054214478,,,,,,No Trade,0.5395013689994812,0.17614752054214478,0.22907957434654236,0.055271562188863754
Up,Up,Up,Yes,Currently in Up Trend,Up Trend Continues,FALSE,Lower,Down,FALSE,FALSE,FALSE,Up,Up,Down,Up,Up,Stable,-16.940918,TRUE,up,0.021433654,0.002151873,0.055060556,0.502592593,No Trade,No Trade,0.5346574187278748,0.33147957921028137,,,,,,No Trade,0.5346574187278748,0.33147957921028137,0.10760708153247833,0.026255893
Flat,Up,Up,No,Currently in Up Trend,Just Entered Up Trend,TRUE,Higher,Up,FALSE,FALSE,FALSE,Up,Up,Up,Down,Down,Stable,23.426269,TRUE,up,0.024831392,0.000109118,0.055060556,0.493703704,Won,No Trade,0.5340421199798584,0.32021036744117737,,,,,,No Trade,0.5340421199798584,0.32021036744117737,0.13175831735134125,0.013989104889333248
Flat,Up,Up,Yes,Currently in Up Trend,Up Trend Continues,FALSE,Higher,Stable,TRUE,TRUE,TRUE,Up,Up,Up,Down,Up,Stable,10.269043,TRUE,up,0.024492814,0.00198939,0.055060556,0.812727273,No Trade,No Trade,0.5339569449424744,0.360943079,,,,,,No Trade,0.5339569449424744,0.360943079,0.065389588,0.039710417
Flat,Up,Up,Yes,Currently in Up Trend,Reversal Coming,FALSE,Lower,Stable,TRUE,TRUE,FALSE,Up,Up,Down,Down,Down,Up,9.674317,TRUE,down,0.009009257,0.000635078,-0.035095998,0.935,Won,No Trade,0.5280412435531616,0.11946189403533936,,,,,,No Trade,0.5280412435531616,0.11946189403533936,0.20698875188827515,0.14550817012786865
Flat,Up,Up,Yes,Currently in Up Trend,Up Trend Continues,FALSE,Higher,Stable,FALSE,TRUE,FALSE,Up,Up,Down,Down,Down,Stable,39.356442,TRUE,up,0.011126163,0.000731059,0.055060556,0.511111111,No Trade,No Trade,0.5208757519721985,0.3198617100715637,,,,,,No Trade,0.5208757519721985,0.3198617100715637,0.10800334811210632,0.051259201020002365
Down,Ambig,Down,Yes,Reversal Coming,Currently in Down Trend,FALSE,Lower,Stable,TRUE,TRUE,TRUE,Down,Down,Down,Down,Down,Stable,10.90527,FALSE,down,0.025932181,0.004260623,-0.035095998,1.16047619,Won,No Trade,0.5144721269607544,0.2540547251701355,,,,,,No Trade,0.5144721269607544,0.2540547251701355,0.10137824714183807,0.13009493052959442
Down,Down,Down,Yes,Down Trend Continues,Currently in Down Trend,FALSE,Lower,Down,TRUE,TRUE,TRUE,Down,Down,Up,Up,Up,Stable,-47.07182,TRUE,down,0.032237674,0.005058227,-0.033888214,1.212857143,No Trade,No Trade,0.5090230703353882,0.4028790593147278,,,,,,No Trade,0.5090230703353882,0.4028790593147278,0.06606219,0.022035602
Up,Up,Up,Yes,Currently in Up Trend,Up Trend Continues,FALSE,Higher,Stable,FALSE,FALSE,FALSE,Up,Up,Up,Up,Up,Stable,4.060547,TRUE,up,0.009819718,0.005165786,0.040724869,0.448148148,No Trade,No Trade,0.5059394836425781,0.3033524453639984,,,,,,No Trade,0.5059394836425781,0.3033524453639984,0.1223158910870552,0.068392217
Flat,Up,Up,Yes,Currently in Up Trend,Up Trend Continues,FALSE,Higher,Stable,FALSE,TRUE,FALSE,Up,Up,Down,Up,Up,Stable,10.165528,TRUE,up,0.009117721,0.000124662,0.055060556,0.47,No Trade,No Trade,0.5059016346931458,0.35646358132362366,,,,,,No Trade,0.5059016346931458,0.35646358132362366,0.096301362,0.041333489
Down,Ambig,Down,No,Just Entered Down Trend,Currently in Down Trend,FALSE,Higher,Up,TRUE,TRUE,TRUE,Down,Down,Down,Down,Down,Up,3.672851,FALSE,down,0.020011341,0.009910648,-0.035095998,0.992727273,Won,No Trade,0.5039055943489075,0.24687168,,,,,,No Trade,0.5039055943489075,0.24687168,0.049933314,0.19928938150405884
Up,Up,Up,Yes,Currently in Up Trend,Up Trend Continues,FALSE,Lower,Down,FALSE,FALSE,FALSE,Up,Up,Down,Up,Up,Stable,9.85791,TRUE,up,0.011873351,0.004705465,0.055060556,0.494074074,Lost,No Trade,0.5012876987457275,0.3373265862464905,,,,,,No Trade,0.5012876987457275,0.3373265862464905,0.12748491764068604,0.033900726586580276
Up,Up,Up,Yes,Currently in Up Trend,Reversal Coming,FALSE,Higher,Stable,TRUE,TRUE,FALSE,Down,Up,Up,Up,Up,Stable,16.5356415,TRUE,up,0.036254177,0.006060448,-0.043134488,1.216190476,Won,No Trade,0.49794378876686096,0.1451522409915924,,,,,,No Trade,0.49794378876686096,0.1451522409915924,0.20848293602466583,0.148421049
Flat,Up,Up,No,Currently in Up Trend,Just Entered Up Trend,FALSE,Higher,Up,TRUE,TRUE,TRUE,Up,Down,Up,Up,Up,Down,-10.5532224,TRUE,up,0.013683727,0.001611042,0.055060556,0.733478261,No Trade,No Trade,0.49382463097572327,0.43626031279563904,,,,,,No Trade,0.49382463097572327,0.43626031279563904,0.048713848,0.021201244
Down,Ambig,Down,Yes,Reversal Coming,Currently in Down Trend,FALSE,Higher,Up,TRUE,TRUE,TRUE,Down,Up,Up,Down,Down,Stable,27.523682,FALSE,down,0.031982321,0.005989488,0.055060556,0.933181818,No Trade,No Trade,0.48971131443977356,0.34915128350257874,,,,,,No Trade,0.48971131443977356,0.34915128350257874,0.081621744,0.079515606
Flat,Up,Up,Yes,Currently in Up Trend,Up Trend Continues,FALSE,Higher,Up,TRUE,TRUE,FALSE,Up,Up,Down,Up,Up,Stable,-11.312012,TRUE,up,0.009833224,0.004101906,0.040724869,0.6016,Won,No Trade,0.4860476553440094,0.402442604,,,,,,No Trade,0.4860476553440094,0.402442604,0.078619584,0.032890167
Down,Ambig,Down,Yes,Down Trend Continues,Currently in Down Trend,FALSE,Higher,Up,TRUE,TRUE,TRUE,Down,Down,Up,Down,Down,Down,14.05567,TRUE,down,0.014644618,0.001511539,0.055060556,0.494444444,Lost,No Trade,0.4853585362434387,0.43107354640960693,,,,,,No Trade,0.4853585362434387,0.43107354640960693,0.033318382,0.050249554216861725
Up,Up,Up,Yes,Currently in Up Trend,Up Trend Continues,FALSE,Lower,Down,FALSE,FALSE,FALSE,Up,Up,Down,Down,Up,Stable,11.458985,TRUE,up,0.017502894,0.003381407,0.055060556,0.49962963,Won,No Trade,0.48063063621520996,0.3456585705280304,,,,,,No Trade,0.48063063621520996,0.3456585705280304,0.13089428842067719,0.042816471
Flat,Up,Up,Yes,Currently in Up Trend,Up Trend Continues,FALSE,Lower,Down,FALSE,FALSE,FALSE,Up,Up,Down,Down,Up,Stable,2.678223,TRUE,up,0.010651674,0.001524117,0.055060556,0.463333333,No Trade,No Trade,0.4779096841812134,0.39161890745162964,,,,,,No Trade,0.4779096841812134,0.39161890745162964,0.092533074,0.037938334
Flat,Down,Down,Yes,Reversal Coming,Currently in Down Trend,FALSE,Lower,Down,TRUE,TRUE,TRUE,Down,Down,Down,Up,Down,Stable,-14.76074,TRUE,down,0.051717261,0.00842808,-0.035095998,1.46047619,Won,No Trade,0.47722354531288147,0.342332661,,,,,,No Trade,0.47722354531288147,0.342332661,0.16669802367687225,0.013745793141424656
Flat,Up,Up,Yes,Currently in Up Trend,Up Trend Continues,FALSE,Lower,Down,FALSE,FALSE,FALSE,Up,Up,Down,Up,Up,Stable,14.171875,TRUE,up,0.009586838,0.00392318,0.055060556,0.486666667,No Trade,No Trade,0.47425132989883423,0.39184749126434326,,,,,,No Trade,0.47425132989883423,0.39184749126434326,0.10136041045188904,0.032540772
Down,Ambig,Down,Yes,Reversal Coming,Currently in Down Trend,FALSE,Lower,Stable,TRUE,TRUE,TRUE,Down,Up,Down,Down,Down,Stable,42.869625,FALSE,down,0.018231902,0.010705655,-0.032506596,1.133333333,Won,No Trade,0.47093480825424194,0.24657584726810455,,,,,,No Trade,0.47093480825424194,0.24657584726810455,0.10181637853384018,0.1806730180978775
Up,Up,Up,Yes,Currently in Up Trend,Up Trend Continues,FALSE,Higher,Stable,FALSE,FALSE,FALSE,Up,Up,Up,Up,Up,Stable,45.056642,TRUE,up,0.020995651,0.004871321,0.055060556,0.524444444,No Trade,No Trade,0.46712788939476013,0.3049507737159729,,,,,,No Trade,0.46712788939476013,0.3049507737159729,0.1546509861946106,0.073270291
Flat,Up,Up,Yes,Currently in Up Trend,Up Trend Continues,FALSE,Lower,Stable,FALSE,TRUE,FALSE,Up,Up,Down,Up,Up,Stable,-13.395508,TRUE,up,0.019546357,0.0008048,0.055060556,0.47037037,Won,No Trade,0.46702221035957336,0.3912631869316101,,,,,,No Trade,0.46702221035957336,0.3912631869316101,0.11134445667266846,0.030370159074664116
Down,Down,Down,Yes,Down Trend Continues,Currently in Down Trend,FALSE,Higher,Up,TRUE,TRUE,TRUE,Down,Down,Up,Down,Down,Down,12.95996,FALSE,down,0.029374071,0.006602733,-0.043134488,1.226666667,No Trade,No Trade,0.4657342731952667,0.3792751431465149,,,,,,No Trade,0.4657342731952667,0.3792751431465149,0.053203933,0.10178661346435547
Up,Up,Up,Yes,Currently in Up Trend,Up Trend Continues,FALSE,Higher,Stable,FALSE,FALSE,FALSE,Up,Up,Down,Up,Up,Stable,-20.696778,TRUE,up,0.014153989,0.002668812,-0.035095998,0.965454545,No Trade,No Trade,0.46560660004615784,0.287863553,,,,,,No Trade,0.46560660004615784,0.287863553,0.11267878860235214,0.1338510662317276
Flat,Up,Up,Yes,Currently in Up Trend,Reversal Coming,FALSE,Higher,Up,TRUE,TRUE,TRUE,Up,Down,Down,Up,Down,Up,-15.1186525,TRUE,up,0.031746541,0.003351615,-0.058900975,1.512857143,Won,No Trade,0.4652966558933258,0.225904644,,,,,,No Trade,0.4652966558933258,0.225904644,0.15176154673099518,0.1570371836423874
Down,Ambig,Down,Yes,Reversal Coming,Currently in Down Trend,FALSE,Lower,Stable,TRUE,TRUE,TRUE,Down,Down,Down,Down,Down,Stable,2.48632,TRUE,down,0.022681193,0.005764639,-0.035095998,1.155238095,No Trade,No Trade,0.46497130393981934,0.3339347839355469,,,,,,No Trade,0.46497130393981934,0.3339347839355469,0.10839653760194778,0.092697352
Up,Down,Up,Yes,Currently in Up Trend,Up Trend Continues,FALSE,Lower,Down,FALSE,FALSE,TRUE,Up,Down,Up,Up,Up,Stable,-41.6743177,TRUE,up,0.027415352,0.009036888,-0.035095998,0.923636364,Lost,No Trade,0.4644376039505005,0.38961923122406006,,,,,,No Trade,0.4644376039505005,0.38961923122406006,0.09588398,0.05005917
Flat,Up,Up,Yes,Currently in Up Trend,Up Trend Continues,FALSE,Lower,Down,FALSE,FALSE,FALSE,Up,Up,Down,Up,Up,Stable,-5.084961,TRUE,up,0.016167323,0.005688248,0.040724869,0.6072,Lost,No Trade,0.4635072946548462,0.40556836128234863,,,,,,No Trade,0.4635072946548462,0.40556836128234863,0.098162562,0.032761719077825546
Up,Up,Up,Yes,Currently in Up Trend,Up Trend Continues,FALSE,Higher,Stable,FALSE,TRUE,FALSE,Up,Up,Up,Up,Up,Stable,4.805664,TRUE,up,0.014126819,0.003455576,0.055060556,0.85,Won,No Trade,0.46109265089035034,0.34958121180534363,,,,,,No Trade,0.46109265089035034,0.34958121180534363,0.14174510538578033,0.047581006
Flat,Up,Up,Yes,Currently in Up Trend,Up Trend Continues,FALSE,Higher,Stable,FALSE,TRUE,FALSE,Up,Up,Down,Down,Up,Stable,7.630615,TRUE,up,0.010334147,0.001200391,0.040724869,0.524074074,Won,No Trade,0.4597924053668976,0.3754730820655823,,,,,,No Trade,0.4597924053668976,0.3754730820655823,0.10263321548700333,0.062101331
Flat,Up,Up,Yes,Currently in Up Trend,Up Trend Continues,FALSE,Higher,Up,TRUE,TRUE,FALSE,Up,Up,Down,Down,Down,Stable,71.095213,TRUE,up,0.018794591,0.002817377,0.055060556,0.6172,No Trade,No Trade,0.45860645174980164,0.3695741891860962,1,,,,,No Trade,0.45860645174980164,0.3695741891860962,0.1216931864619255,0.050126217
Up,Up,Up,No,Currently in Up Trend,Just Entered Up Trend,FALSE,Higher,Stable,FALSE,TRUE,FALSE,Down,Up,Up,Up,Up,Stable,5.2739263,TRUE,up,0.019701303,0.004967072,-0.035095998,0.779545455,Won,No Trade,0.4576006531715393,0.25055426359176636,,,,,,No Trade,0.4576006531715393,0.25055426359176636,0.21221700310707092,0.079628065
Flat,Up,Up,Yes,Currently in Up Trend,Up Trend Continues,FALSE,Lower,Down,FALSE,TRUE,FALSE,Up,Up,Down,Up,Down,Up,3.89087,TRUE,down,0.013006256,0.004403816,0.040724869,0.465185185,Folded,No Trade,0.45569372177124023,0.32056689262390137,,,,,,No Trade,0.45569372177124023,0.32056689262390137,0.2009187936782837,0.022820642217993736
Flat,Up,Up,Yes,Currently in Up Trend,Up Trend Continues,FALSE,Lower,Down,TRUE,TRUE,FALSE,Up,Up,Down,Down,Down,Stable,9.69043,TRUE,up,0.011325101,0.002096637,-0.035095998,0.814090909,Lost,No Trade,0.45541948080062866,0.3708101511001587,,,,,,No Trade,0.45541948080062866,0.3708101511001587,0.1196657195687294,0.054104648530483246
